case_number	case_name	n_sequences	n_changes	group_name	gt_candidates	test_status	initial_region_span	gap_history	best_candidates	direction_L1	rank_L1_L2	bc_breakpoints_target	gt_breakpoints_target	p_value_vs_L1	p_value_vs_L2	alternative_candidates
44	Unknown_ID	195	73	XAS	N/A	N/A	1-64,65-73		BA.4.8 + BA.2.65	>>	N/A	64-65	N/A	1.15e-17	3.66e-51	[], []
47	Unknown_ID	137	122	XDN	N/A	N/A	1-98,99-122		JN.1 + JD.1.1.8	>>	N/A	98-99	N/A	2.04e-86	0.00e+00	[], []
48	Unknown_ID	58	73	XAK	N/A	N/A	1-18,39-73	18-39	BA.2 + BA.2.10	<<	N/A	26-27	N/A	3.04e+03	1.23e-11	[], []
49	Unknown_ID	75	72	XW	N/A	N/A	1-3,4-72		BA.1.1.9 + BA.2.23	<<	N/A	3-4	N/A	0.00e+00	6.43e-35	[], []
50	Unknown_ID	19	98	XBN	N/A	N/A	1-11,12-98		BA.2.75.5 + XBB.3	<<	N/A	11-12	N/A	4.60e-190	6.73e-53	[], []
52	Unknown_ID	59	139	XES	N/A	N/A	1-129,130-139		KP.2.3.15 + MR.2	>>	N/A	129-130	N/A	2.14e-26	3.28e-50	[], []
53	Unknown_ID	77	109	XCP	N/A	N/A	1-20,24-109	20-24	HK.3 + JD.1.1	<<	N/A	23-24	N/A	1.63e-112	2.05e-19	[], []
54	Unknown_ID	12	74	XAU	N/A	N/A	1-4,5-74		BA.1.1.9 + BA.2.9	<<	N/A	4-5	N/A	0.00e+00	1.94e-25	[], []
56	Unknown_ID	7	93	XBV	N/A	N/A	1-25,26-93		CR.1 + XBB.1.5	<<	N/A	25-26	N/A	5.62e-213	4.06e-99	[], []
57	Unknown_ID	33	106	XCM	N/A	N/A	1-40,41-106		XBB.2.3.13 + DV.7.1.2	<<	N/A	40-41	N/A	9.80e-235	9.63e-265	[], []
59	Unknown_ID	4	122	XEG	N/A	N/A	1-3,7-24,25-122	3-25 -> 3-7	BA.2.86.1 + GJ.1.2 + BA.2.86.1	<<	N/A	5-6, 24-25	N/A	4.18e-108	0.00e+00	[], []
61	Unknown_ID	81	86	XBD	N/A	N/A	1-66,67-86		BA.2.75.2 + BF.23	>>	N/A	66-67	N/A	4.94e-113	7.14e-213	[], []
64	Unknown_ID	13	106	XCK	N/A	N/A	1-85,86-106		HN.4 + JH.1	>>	N/A	85-86	N/A	1.12e-156	0.00e+00	[], []
65	Unknown_ID	83	69	XQ	N/A	N/A	1-4,5-69		BA.1.1.9 + BA.2.5	<<	N/A	4-5	N/A	0.00e+00	4.32e-61	[], []
66	Unknown_ID	37	117	XDL	N/A	N/A	1-106,108-117	106-108	HK.3 + FL.21.2	>>	N/A	106-107	N/A	1.22e-16	9.62e-164	[], []
67	Unknown_ID	70	71	XAB	N/A	N/A	1-6,7-71		BA.1.1.9 + BA.2	<<	N/A	6-7	N/A	1.10e-281	2.24e-47	[], []
68	Unknown_ID	103	68	XH	N/A	N/A	1-10,11-68		BA.1 + BA.2.9	<<	N/A	10-11	N/A	6.20e-151	1.50e-65	[], []
69	Unknown_ID	65	78	XBM	N/A	N/A	1-32,33-78		BA.2.76 + BF.3	<<	N/A	32-33	N/A	3.95e-133	1.46e-69	[], []
73	Unknown_ID	35	36	XA	N/A	N/A	1-13,14-36		B.1.177.18 + B.1.1.7	<<	N/A	13-14	N/A	7.50e-197	8.13e-101	[], []
75	Unknown_ID	2	70	XU	N/A	N/A	1-5,6-70		BA.1.7 + BA.2.37	<<	N/A	5-6	N/A	0.00e+00	9.08e-70	[], []
76	Unknown_ID	8	90	XBU	N/A	N/A	1-52,53-71,72-90	52-72 -> 	BA.2.75.2 + DP.1 + BA.2.75.2	>>	N/A	52-53, 71-72	N/A	7.00e-72	0.00e+00	[], []
77	Unknown_ID	150	83	XBZ	N/A	N/A	1-3,4-83		BA.5.2.10 + EF.1	<<	N/A	3-4	N/A	2.23e-157	1.01e-11	[], []
79	Unknown_ID	12	101	XCC	N/A	N/A	1-22,23-101		CH.1.1.1 + FL.27	<<	N/A	22-23	N/A	2.17e-257	4.12e-87	[], []
80	Unknown_ID	10	114	XDG	N/A	N/A	1-10,14-114	10-14	XBB.1.5.7 + EG.5.2.1	<<	N/A	13-14	N/A	8.44e-67	5.02e-48	[], []
82	Unknown_ID	4	98	XCE	N/A	N/A	1-5,6-98		BQ.1.1.16 + FY.1	<<	N/A	5-6	N/A	0.00e+00	2.38e-26	[], []
83	Unknown_ID	3	113	XDC	N/A	N/A	1-107,108-113		EG.5.1.1 + GY.9	>>	N/A	107-108	N/A	4.19e-20	2.06e-181	[], []
84	Unknown_ID	5	110	XCY	N/A	N/A	1-3,4-39,40-110	3-40 -> 	GK.4 + JG.4 + GK.4	<<	N/A	3-4, 39-40	N/A	5.54e-148	8.98e-122	[], []
85	Unknown_ID	84	72	XR	N/A	N/A	1-4,5-72		BA.1.1.9 + BA.2	<<	N/A	4-5	N/A	3.08e-310	2.76e-41	[], []
86	Unknown_ID	5	67	XAH	N/A	N/A	1-56,57-67		BA.2 + BA.1.23	>>	N/A	56-57	N/A	8.22e-47	0.00e+00	[], []
87	Unknown_ID	51	108	XCW	N/A	N/A	1-92,98-108	92-98	XBB.2.3.20 + JF.1.1.2	>>	N/A	92-93	N/A	8.38e-70	1.01e-225	[], []
89	Unknown_ID	1654	67	XE	N/A	N/A	1-10,12-67	10-12	BD.1 + BA.2.31	<<	N/A	10-11	N/A	9.63e-292	6.50e-134	[], []
90	Unknown_ID	2	149	XFA	N/A	N/A	1-30,33-149	30-33	MC.1.1 + XEC.4.1.4	<<	N/A	32-33	N/A	1.86e-143	1.09e-67	[], []
91	Unknown_ID	71	67	XZ	N/A	N/A	1-56,57-67		BA.2 + BA.1.23	>>	N/A	56-57	N/A	8.22e-47	0.00e+00	[], []
93	Unknown_ID	10	111	XDE	N/A	N/A	1-88,89-111		GW.5.1 + FL.13	>>	N/A	88-89	N/A	5.16e-74	3.19e-151	[], []
95	Unknown_ID	35	113	XDS	N/A	N/A	1-10,11-113		JG.3.1 + BA.2.86.1	<<	N/A	10-11	N/A	0.00e+00	3.40e-44	[], []
98	Unknown_ID	11	93	XBR	N/A	N/A	1-41,42-93		BN.3.1 + BQ.1.25	>>	N/A	41-42	N/A	1.51e-217	8.68e-211	[], []
99	Unknown_ID	63	74	XY	N/A	N/A	1-14,16-74	14-16	BA.1.1 + BA.2	<<	N/A	14-15	N/A	7.10e-122	2.80e-70	[], []
100	Unknown_ID	28	69	XAD	N/A	N/A	1-56,57-69		BA.2 + BA.1.1	>>	N/A	56-57	N/A	9.57e-19	5.88e-163	[], []
101	Unknown_ID	19	138	XEU	N/A	N/A	1-8,9-138		XEK.2 + XEC.8	<<	N/A	8-9	N/A	3.53e-60	1.83e-20	[], []
103	Unknown_ID	36	91	XBQ	N/A	N/A	1-3,4-91		BA.5.2.10 + BM.1.1.1	<<	N/A	3-4	N/A	1.64e-321	1.15e-17	[], []
104	Unknown_ID	1	82	XAY	N/A	N/A	1-24,30-82	24-30	XAY.2 + XAY.2.3	<<	N/A	24-25	N/A	1.40e+00	1.68e-22	[], []
107	Unknown_ID	51	72	XAN	N/A	N/A	1-11,12-72		BA.2 + BA.5.1.23	<<	N/A	11-12	N/A	1.13e-63	4.26e-17	[], []
115	Unknown_ID	18	87	XBS	N/A	N/A	1-32,39-87	32-39	BN.1 + BQ.1.1.46	<<	N/A	38-39	N/A	1.11e-145	5.89e-129	[], []
116	Unknown_ID	23	94	XBW	N/A	N/A	1-79,80-94		XBB.1.5 + BQ.1.14	>>	N/A	79-80	N/A	3.83e-71	9.35e-242	[], []
117	Unknown_ID	3	69	XJ	N/A	N/A	1-13,15-69	13-15	BD.1 + BA.2	<<	N/A	13-14	N/A	3.08e-192	4.40e-128	[], []
119	Unknown_ID	23	101	XDB	N/A	N/A	1-97,98-101		XBB.1.16.19 + BA.2.27	>>	N/A	97-98	N/A	8.43e-18	0.00e+00	[], []
121	Unknown_ID	18	118	XDT	N/A	N/A	1-87,88-118		BA.2.86.1 + GK.1.1	>>	N/A	87-88	N/A	4.59e-73	0.00e+00	[], []
122	Unknown_ID	27	131	XFN	N/A	N/A	1-115,117-131	115-117	JN.1.16.1 + KP.3.3.10	>>	N/A	115-116	N/A	5.69e-19	1.60e-29	[], []
123	Unknown_ID	23	121	XDR	N/A	N/A	1-17,18-121		XBB.1.5 + JN.1.1	<<	N/A	17-18	N/A	0.00e+00	3.03e-54	[], []
124	Unknown_ID	29	88	XBP	N/A	N/A	1-40,41-88		BL.2 + BQ.1.23	<<	N/A	40-41	N/A	1.32e-178	2.56e-187	[], []
126	Unknown_ID	18	72	XAE	N/A	N/A	1-57,58-72		BA.2 + BA.1.1	>>	N/A	57-58	N/A	3.28e-26	5.14e-167	[], []
127	Unknown_ID	1	118	XDJ	N/A	N/A	1-25,26-118		JF.1 + HK.3.1	<<	N/A	25-26	N/A	1.49e-125	3.33e-113	[], []
128	Unknown_ID	170	113	XCR	N/A	N/A	1-82,83-113		GK.1.1.1 + FU.1.1.1	>>	N/A	82-83	N/A	6.72e-112	1.34e-198	[], []
129	Unknown_ID	18	93	XCG	N/A	N/A	1-3,4-93		BA.5.2.10 + XBB.1.5	<<	N/A	3-4	N/A	1.67e-274	4.08e-12	[], []
130	Unknown_ID	19	110	XDM	N/A	N/A	1-104,105-110		XBB.1.16 + XDA.1	>>	N/A	104-105	N/A	5.10e-21	1.06e-14	[], []
