genomeIDs	original_lineage	recombinant_parents	breakpoint_count	case_report_folder
OK054386.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054386.1
OK054394.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054394.1
OK054443.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054443.1
OK054480.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054480.1
MK269353.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MK269353.1
MF434522.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MF434522.1
KY272987.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_KY272987.1
MW122443.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MW122443.1
KX922708.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_KX922708.1
OK054425.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054425.1
OQ661916.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OQ661916.1
OK054403.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054403.1
MW122429.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MW122429.1
OK054370.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OK054370.1
PP431245.1	A.1	A.1.NmC2 + A.1 + A.1.NmC2	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_PP431245.1
MW915412.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MW915412.1
MW165880.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MW165880.1
MW122411.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MW122411.1
KY328290.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_KY328290.1
MW122412.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MW122412.1
MW915413.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MW915413.1
MW915414.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MW915414.1
MH119185.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MH119185.1
MW122413.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MW122413.1
MT507047.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MT507047.1
MT507048.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MT507048.1
MT507049.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MT507049.1
MT507050.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MT507050.1
PP626400.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_PP626400.1
MW122450.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MW122450.1
OP858751.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OP858751.1
MT377493.2	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MT377493.2
MK829152.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MK829152.1
MT078742.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MT078742.1
MH063259.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MH063259.1
MH063263.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MH063263.1
MK829154.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MK829154.1
OQ661918.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OQ661918.1
MK238035.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MK238035.1
MK238037.1	A.1	A.1 + A.1.NmC1 + A.1	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MK238037.1
MK238039.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MK238039.1
MK238038.1	A.1	A.1 + A.1.NmC1 + A.1	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MK238038.1
MN611472.1	A.1	A.1.NmC1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MN611472.1
EU545988.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_EU545988.1
KU955593.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_KU955593.1
KX377336.1	A.1	A.1 + A.1.NmC1 + A.1	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_KX377336.1
KX601167.1	A.1	A.1 + A.1.NmC1 + A.1	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_KX601167.1
KX694533.2	A.1	A.1 + A.1.NmC1 + A.1	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_KX694533.2
MG645981.1	A.1	A.1 + A.1.NmC1 + A.1	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MG645981.1
MH158236.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MH158236.1
MT377502.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MT377502.1
MT377504.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MT377504.1
MW015936.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_MW015936.1
OP281680.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OP281680.1
OQ165285.1	A.1	A.1 + A.1.NmC1 + A.1	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OQ165285.1
PQ849442.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_PQ849442.1
ON142674.1	A.1	A.1.NmC1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_ON142674.1
OR264642.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OR264642.1
OM666892.1	A.1	A.1 + A.1.NmC1 + A.1	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OM666892.1
OM666893.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OM666893.1
OM666891.1	A.1	A.1 + A.1.NmC1 + A.1	2BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OM666891.1
OQ734448.1	A.1	A.1.NmC1 + A.1	1BP	results/recombinhunt_output/zika/dist3size10/structured_reports/case_4_A.1_OQ734448.1
