--- Analyzing Designations by Continent (Percentages) ---

  Designation: A.D.3, Percentage: 1.77%
  Designation: A.D.3.3, Percentage: 1.11%
  Designation: A.D.2, Percentage: 0.88%
  Designation: A.D.2.2.NmC1, Percentage: 0.44%
  Designation: A.D.5, Percentage: 0.44%
  Designation: A.D.1.8, Percentage: 0.22%
  Designation: A.D.2.1, Percentage: 0.22%
  Designation: A.D.2.2.1, Percentage: 0.22%
  Designation: A.D.2.NmC1, Percentage: 0.22%
  Designation: A.D.3.6, Percentage: 0.22%
  Designation: A.D.5.1, Percentage: 0.22%
  Designation: A.D.NmC1, Percentage: 0.22%

Country:  Bulgaria (Total observed designations in this group: 17)
  Designation: A.D, Percentage: 52.94%
  Designation: A.D.NmC2, Percentage: 41.18%
  Designation: A.D.5, Percentage: 5.88%

Country:  Cambodia (Total observed designations in this group: 4)
  Designation: A.D.2.2.1, Percentage: 100.00%

Country:  Cameroon (Total observed designations in this group: 25)
  Designation: A.D.3.6, Percentage: 72.00%
  Designation: A.3.1, Percentage: 24.00%
  Designation: A.D, Percentage: 4.00%

Country:  Canada (Total observed designations in this group: 290)
  Designation: A.D.1, Percentage: 17.93%
  Designation: A.D.2, Percentage: 17.93%
  Designation: A.D, Percentage: 15.86%
  Designation: A.D.1.2, Percentage: 11.38%
  Designation: A.D.3.3, Percentage: 10.34%
  Designation: A.D.1.5, Percentage: 4.83%
  Designation: A.D.2.NmC2, Percentage: 4.14%
  Designation: A.3.1, Percentage: 3.10%
  Designation: A.3.1.1, Percentage: 2.41%
  Designation: A.D.5.1, Percentage: 2.41%
  Designation: A.D.5.3, Percentage: 2.07%
  Designation: A.D.4.NmC3, Percentage: 1.72%
  Designation: A.D.2.NmC1, Percentage: 1.38%
  Designation: A.D.3.12, Percentage: 1.38%
  Designation: A.D.4.NmC1, Percentage: 1.03%
  Designation: A.D.1.4, Percentage: 0.69%
  Designation: A.3.1.NmC1, Percentage: 0.34%
  Designation: A.D.2.2.NmC1, Percentage: 0.34%
  Designation: A.D.3.6, Percentage: 0.34%
  Designation: A.D.NmC1, Percentage: 0.34%

Country:  China (Total observed designations in this group: 3406)
  Designation: A.D.4.NmC3, Percentage: 17.06%
  Designation: A.D.2, Percentage: 14.94%
  Designation: A.D.3.6, Percentage: 11.69%
  Designation: A.3.1, Percentage: 9.92%
  Designation: A.D, Percentage: 9.25%
  Designation: A.D.NmC1, Percentage: 7.22%
  Designation: A.D.2.NmC1, Percentage: 5.08%
  Designation: A.D.3.NmC2, Percentage: 4.35%
  Designation: A.D.4.NmC1, Percentage: 4.23%
  Designation: A.D.3.3, Percentage: 3.90%
  Designation: A.3.1.1, Percentage: 2.85%
  Designation: A.D.3.NmC1, Percentage: 2.73%
  Designation: A.3.1.NmC2, Percentage: 1.61%
  Designation: A.D.2.2.NmC1, Percentage: 1.17%
  Designation: A.D.3.12, Percentage: 0.85%
  Designation: A.D.4.NmC2, Percentage: 0.73%
  Designation: A.D.5, Percentage: 0.70%
  Designation: A.2.1.1, Percentage: 0.29%
  Designation: A.D.5.1, Percentage: 0.21%
  Designation: A.3, Percentage: 0.18%
  Designation: A.D.1, Percentage: 0.18%
  Designation: A.3.1.NmC1, Percentage: 0.15%
  Designation: A.D.3, Percentage: 0.15%
  Designation: A.D.5.3, Percentage: 0.15%
  Designation: A.D.2.2, Percentage: 0.12%
  Designation: A.D.NmC2, Percentage: 0.09%
  Designation: A.D.5.2, Percentage: 0.06%
  Designation: A.D.1.2, Percentage: 0.03%
  Designation: A.D.1.3, Percentage: 0.03%
  Designation: A.D.2.2.1, Percentage: 0.03%
  Designation: A.D.3.7, Percentage: 0.03%
  Designation: A.D.3.8, Percentage: 0.03%

Country:  Colombia (Total observed designations in this group: 1)
  Designation: A.D.4.NmC3, Percentage: 100.00%

Country:  Croatia (Total observed designations in this group: 315)
  Designation: A.D.2.2, Percentage: 44.76%
  Designation: A.D, Percentage: 23.49%
  Designation: A.3.1, Percentage: 12.06%
  Designation: A.D.2.2.NmC1, Percentage: 6.98%
  Designation: A.3.1.1, Percentage: 4.76%
  Designation: A.D.NmC1, Percentage: 3.17%
  Designation: A.D.NmC2, Percentage: 2.86%
  Designation: A.3.1.NmC1, Percentage: 0.95%
  Designation: A.D.5.NmC1, Percentage: 0.63%
  Designation: A.D.3.6, Percentage: 0.32%

Country:  Cuba (Total observed designations in this group: 61)
  Designation: A.D.4.NmC3, Percentage: 85.25%
  Designation: A.D.4.NmC1, Percentage: 14.75%

Country:  Egypt (Total observed designations in this group: 46)
  Designation: A.D.2.2, Percentage: 67.39%
  Designation: A.D.4.NmC3, Percentage: 30.43%
  Designation: A.D.4.NmC1, Percentage: 2.17%

Country:  Finland (Total observed designations in this group: 100)
  Designation: A.D.1, Percentage: 24.00%
  Designation: A.D.3.12, Percentage: 15.00%
  Designation: A.D.1.2, Percentage: 14.00%
  Designation: A.D.2.1, Percentage: 14.00%
  Designation: A.D.2, Percentage: 11.00%
  Designation: A.D.3.3, Percentage: 10.00%
  Designation: A.D.1.5, Percentage: 5.00%
  Designation: A.D.1.8, Percentage: 5.00%
  Designation: A.D.2.NmC1, Percentage: 1.00%
  Designation: A.D.5.1, Percentage: 1.00%

Country:  France (Total observed designations in this group: 754)
  Designation: A.D.5.NmC1, Percentage: 39.52%
  Designation: A.3.1.1, Percentage: 9.42%
  Designation: A.D.2, Percentage: 7.29%
  Designation: A.D.5.2, Percentage: 6.37%
  Designation: A.D.5.1, Percentage: 5.57%
  Designation: A.D.1.9, Percentage: 5.04%
  Designation: A.3.1, Percentage: 3.32%
  Designation: A.D, Percentage: 2.92%
  Designation: A.D.1.10, Percentage: 2.79%
  Designation: A.D.2.2.NmC1, Percentage: 2.52%
  Designation: A.D.3.8, Percentage: 2.52%
  Designation: A.D.3.3, Percentage: 2.39%
  Designation: A.D.1.5, Percentage: 1.59%
  Designation: A.D.1.6, Percentage: 1.46%
  Designation: A.D.3.12, Percentage: 1.33%
  Designation: A.D.1.7, Percentage: 1.06%
  Designation: A.D.2.NmC1, Percentage: 0.93%
  Designation: A.D.1, Percentage: 0.80%
  Designation: A.D.1.11, Percentage: 0.80%
  Designation: A.D.1.2, Percentage: 0.66%
  Designation: A.D.5.3, Percentage: 0.66%
  Designation: A.D.3.1, Percentage: 0.27%
  Designation: A.D.3.2, Percentage: 0.27%
  Designation: A.D.2.2, Percentage: 0.13%
  Designation: A.D.3.4, Percentage: 0.13%
  Designation: A.D.5, Percentage: 0.13%
  Designation: A.D.NmC2, Percentage: 0.13%

Country:  Gambia (Total observed designations in this group: 39)
  Designation: A.D.4.NmC2, Percentage: 41.03%
  Designation: A.D.2, Percentage: 38.46%
  Designation: A.D.4.NmC1, Percentage: 20.51%

Country:  Germany (Total observed designations in this group: 1123)
  Designation: A.D, Percentage: 28.50%
  Designation: A.D.4.NmC3, Percentage: 8.28%
  Designation: A.D.NmC2, Percentage: 6.95%
  Designation: A.D.2.2.NmC1, Percentage: 6.06%
  Designation: A.D.3.NmC2, Percentage: 5.79%
  Designation: A.D.3.3, Percentage: 4.99%
  Designation: A.3.1, Percentage: 4.81%
  Designation: A.D.2, Percentage: 4.81%
  Designation: A.3.1.1, Percentage: 4.45%
  Designation: A.D.NmC1, Percentage: 3.29%
  Designation: A.D.5.2, Percentage: 2.58%
  Designation: A.D.1, Percentage: 2.32%
  Designation: A.D.4.NmC2, Percentage: 2.32%
  Designation: A.D.5.1, Percentage: 2.23%
  Designation: A.D.1.8, Percentage: 1.69%
  Designation: A.D.3.6, Percentage: 1.42%
  Designation: A.D.3.12, Percentage: 1.34%
  Designation: A.D.5.NmC1, Percentage: 1.34%
  Designation: A.D.5, Percentage: 1.25%
  Designation: A.D.2.NmC1, Percentage: 1.07%
  Designation: A.D.1.2, Percentage: 0.98%
  Designation: A.D.5.3, Percentage: 0.80%
  Designation: A.D.3.8, Percentage: 0.62%
  Designation: A.3.1.NmC1, Percentage: 0.53%
  Designation: A.D.1.5, Percentage: 0.45%
  Designation: A.D.1.10, Percentage: 0.36%
  Designation: A.D.1.7, Percentage: 0.27%
  Designation: A.D.2.2, Percentage: 0.18%
  Designation: A.D.3.1, Percentage: 0.18%
  Designation: A.3.1.NmC2, Percentage: 0.09%
  Designation: A.D.2.NmC2, Percentage: 0.09%

Country:  Ghana (Total observed designations in this group: 51)
  Designation: A.D.NmC2, Percentage: 62.75%
  Designation: A.D, Percentage: 13.73%
  Designation: A.3.1.1, Percentage: 9.80%
  Designation: A.D.2.2, Percentage: 9.80%
  Designation: A.D.2.2.NmC1, Percentage: 3.92%

Country:  Greece (Total observed designations in this group: 13)
  Designation: A.D.5.NmC1, Percentage: 84.62%
  Designation: A.D.NmC2, Percentage: 15.38%

Country:  Guatemala (Total observed designations in this group: 15)
  Designation: A.D.NmC2, Percentage: 53.33%
  Designation: A.D, Percentage: 33.33%
  Designation: A.3.1.1, Percentage: 6.67%
