--- Analyzing Designations by Continent (Percentages) ---

  Designation: C.1.NmC1, Percentage: 1.47%
  Designation: A.1, Percentage: 0.98%
  Designation: B.1.17.NmC5, Percentage: 0.98%
  Designation: B.1.NmC7, Percentage: 0.98%
  Designation: A.1.NmC2, Percentage: 0.49%
  Designation: A.2.3, Percentage: 0.49%
  Designation: B.1.10, Percentage: 0.49%
  Designation: B.1.12, Percentage: 0.49%
  Designation: B.1.3, Percentage: 0.49%
  Designation: B.1.NmC1, Percentage: 0.49%
  Designation: B.1.NmC2, Percentage: 0.49%
  Designation: D.1, Percentage: 0.49%

Continent: SouthAmerica (Total observed designations in this group: 236)
  Designation: B.1.10, Percentage: 40.25%
  Designation: B.1.16, Percentage: 10.59%
  Designation: B.1.13.NmC1, Percentage: 8.90%
  Designation: B.1.15, Percentage: 6.78%
  Designation: B.1.13, Percentage: 5.51%
  Designation: B.1.11.NmC1, Percentage: 5.08%
  Designation: B.1.NmC2, Percentage: 5.08%
  Designation: B.1.11, Percentage: 4.66%
  Designation: B.1.NmC4, Percentage: 4.24%
  Designation: B.1.6, Percentage: 2.97%
  Designation: B.1.8, Percentage: 2.12%
  Designation: B.1.12, Percentage: 0.85%
  Designation: B.1.2.NmC4, Percentage: 0.85%
  Designation: A.1.NmC1, Percentage: 0.42%
  Designation: B.1.13.NmC2, Percentage: 0.42%
  Designation: B.1.17.NmC3, Percentage: 0.42%
  Designation: B.1.2.NmC2, Percentage: 0.42%
  Designation: B.1.3, Percentage: 0.42%


--- Analyzing Designations by Country (Percentages) ---

Country:  Argentina (Total observed designations in this group: 3)
  Designation: B.1.NmC2, Percentage: 66.67%
  Designation: B.1.3, Percentage: 33.33%

Country:  Australia (Total observed designations in this group: 204)
  Designation: B.1.13, Percentage: 23.53%
  Designation: F.2.NmC1, Percentage: 19.12%
  Designation: F.2.NmC2, Percentage: 17.16%
  Designation: B.1.13.NmC1, Percentage: 12.25%
  Designation: B.1.1, Percentage: 5.88%
