--- Analyzing Designations by Continent (Percentages) ---

  Designation: B.D.E.1.8, Percentage: 0.62%

Country:  Gabon (Total observed designations in this group: 2)
  Designation: B.D.1, Percentage: 100.00%

Country:  Gambia (Total observed designations in this group: 97)
  Designation: B.D, Percentage: 58.76%
  Designation: B.D.3, Percentage: 28.87%
  Designation: B.D.E.3, Percentage: 6.19%
  Designation: B.D.1, Percentage: 3.09%
  Designation: B.D.4.1.3, Percentage: 3.09%

Country:  Germany (Total observed designations in this group: 974)
  Designation: B.D.1, Percentage: 49.18%
  Designation: B.D.E.3, Percentage: 18.89%
  Designation: B.D.4.1.1, Percentage: 12.11%
  Designation: B.D.E.4, Percentage: 6.47%
  Designation: B.D.1.1, Percentage: 4.41%
  Designation: B.D.E.1, Percentage: 3.59%
  Designation: B.D.4.1.2, Percentage: 3.39%
  Designation: B.D.E.1.2, Percentage: 0.72%
  Designation: B.D.E.5, Percentage: 0.72%
  Designation: B.D.4.1.3, Percentage: 0.41%
  Designation: B.D.E.1.7, Percentage: 0.10%

Country:  Ghana (Total observed designations in this group: 57)
  Designation: B.D.1, Percentage: 100.00%

Country:  Greece (Total observed designations in this group: 10)
  Designation: B.D.1, Percentage: 100.00%

Country:  Guatemala (Total observed designations in this group: 10)
  Designation: B.D.1, Percentage: 80.00%
  Designation: B.D.1.1, Percentage: 20.00%

Country:  Hong Kong (Total observed designations in this group: 1)
  Designation: B.D.1, Percentage: 100.00%

Country:  Hungary (Total observed designations in this group: 36)
  Designation: B.D.4.1.1, Percentage: 47.22%
  Designation: B.D.E.3, Percentage: 33.33%
  Designation: B.D.3, Percentage: 8.33%
  Designation: B.D, Percentage: 5.56%
  Designation: B.D.1, Percentage: 2.78%
  Designation: B.D.4.1.3, Percentage: 2.78%

Country:  India (Total observed designations in this group: 158)
  Designation: B.D.1, Percentage: 74.68%
  Designation: B.D, Percentage: 18.99%
  Designation: B.D.3, Percentage: 1.90%
  Designation: B.D.1.1, Percentage: 1.27%
  Designation: B.D.E.3, Percentage: 1.27%
  Designation: B.3, Percentage: 0.63%
  Designation: B.D.4.1.2, Percentage: 0.63%
  Designation: B.D.4.1.3, Percentage: 0.63%

Country:  Indonesia (Total observed designations in this group: 3)
  Designation: B.D.1, Percentage: 100.00%

Country:  Iran (Total observed designations in this group: 15)
  Designation: B.D.1, Percentage: 73.33%
  Designation: B.D, Percentage: 26.67%

Country:  Iraq (Total observed designations in this group: 29)
  Designation: B.D.1, Percentage: 51.72%
  Designation: B.D.E.3, Percentage: 37.93%
  Designation: B.D.3, Percentage: 10.34%

Country:  Ireland (Total observed designations in this group: 207)
  Designation: B.D.E.3, Percentage: 49.28%
  Designation: B.D.E.1, Percentage: 24.15%
  Designation: B.D.3, Percentage: 15.94%
  Designation: B.D.E.1.2, Percentage: 2.90%
  Designation: B.D.E.6, Percentage: 2.90%
  Designation: B.D, Percentage: 1.45%
  Designation: B.D.E.1.1, Percentage: 1.45%
  Designation: B.D.E.7, Percentage: 0.97%
  Designation: B.D.E.1.7, Percentage: 0.48%
  Designation: B.D.E.4, Percentage: 0.48%

Country:  Italy (Total observed designations in this group: 90)
  Designation: B.D.1, Percentage: 84.44%
  Designation: B.D.E.3, Percentage: 11.11%
  Designation: B.D.E.4, Percentage: 2.22%
  Designation: B.D.4.1.1, Percentage: 1.11%
  Designation: B.D.4.1.3, Percentage: 1.11%

Country:  Japan (Total observed designations in this group: 539)
  Designation: B.D.1, Percentage: 44.90%
  Designation: B.D.E.4, Percentage: 30.24%
  Designation: B.D.4.1.1, Percentage: 16.70%
  Designation: B.D.4.1.2, Percentage: 3.90%
  Designation: B.D.E.1, Percentage: 2.97%
  Designation: B.D.E.5, Percentage: 0.74%
  Designation: B.D.4.1.3, Percentage: 0.19%
  Designation: B.D.E.3, Percentage: 0.19%
  Designation: B.D.E.6, Percentage: 0.19%

Country:  Jordan (Total observed designations in this group: 40)
  Designation: B.D.4.1.2, Percentage: 97.50%
  Designation: B.D, Percentage: 2.50%

Country:  Kenya (Total observed designations in this group: 1023)
  Designation: B.D.4.1.2, Percentage: 26.69%
  Designation: B.D, Percentage: 23.75%
  Designation: B.D.E.3, Percentage: 19.16%
  Designation: B.D.E.5, Percentage: 10.75%
  Designation: B.D.3, Percentage: 10.65%
  Designation: B.D.1, Percentage: 7.82%
  Designation: B, Percentage: 0.88%
  Designation: B.D.E.4, Percentage: 0.29%

Country:  Kuwait (Total observed designations in this group: 9)
  Designation: B.D.E.1, Percentage: 100.00%

Country:  Laos (Total observed designations in this group: 20)
  Designation: B.D.1, Percentage: 100.00%

Country:  Latvia (Total observed designations in this group: 27)
  Designation: B.D.1, Percentage: 59.26%
  Designation: B.D, Percentage: 37.04%
  Designation: B.D.1.1, Percentage: 3.70%

Country:  Lebanon (Total observed designations in this group: 29)
  Designation: B.D.1, Percentage: 100.00%

Country:  Malaysia (Total observed designations in this group: 48)
  Designation: B.D.1, Percentage: 100.00%

Country:  Mali (Total observed designations in this group: 106)
  Designation: B.D, Percentage: 62.26%
  Designation: B.D.3, Percentage: 37.74%

Country:  Mexico (Total observed designations in this group: 58)
  Designation: B.D.E.3, Percentage: 72.41%
  Designation: B.D.4.1.1, Percentage: 15.52%
  Designation: B.D.E.4, Percentage: 6.90%
  Designation: B.D.1, Percentage: 3.45%
  Designation: B.D.4.1.2, Percentage: 1.72%

Country:  Morocco (Total observed designations in this group: 1)
  Designation: B.D, Percentage: 100.00%

Country:  Myanmar (Total observed designations in this group: 110)
  Designation: B.D.1, Percentage: 61.82%
  Designation: B.D.E.3, Percentage: 28.18%
  Designation: B.D.3, Percentage: 7.27%
  Designation: B.D, Percentage: 2.73%

Country:  Netherlands (Total observed designations in this group: 277)
  Designation: B.D.E.4, Percentage: 38.99%
  Designation: B.D.4.1.1, Percentage: 24.19%
  Designation: B.D.4.1.2, Percentage: 16.97%
  Designation: B.D, Percentage: 8.30%
  Designation: B.D.4.1.3, Percentage: 7.22%
  Designation: B.D.E.3, Percentage: 2.17%
  Designation: B.D.E.1, Percentage: 0.72%
  Designation: B.D.E.5, Percentage: 0.72%
  Designation: B.D.1, Percentage: 0.36%
  Designation: B.D.1.1, Percentage: 0.36%

Country:  New Zealand (Total observed designations in this group: 41)
  Designation: B.D.4.1.2, Percentage: 100.00%

Country:  Nicaragua (Total observed designations in this group: 40)
  Designation: B.D.4.1.2, Percentage: 100.00%

Country:  Nigeria (Total observed designations in this group: 16)
  Designation: B.D.1, Percentage: 87.50%
  Designation: B.D.4.1.3, Percentage: 12.50%

Country:  Pakistan (Total observed designations in this group: 85)
  Designation: B.D.1, Percentage: 96.47%
  Designation: B.D, Percentage: 3.53%

Country:  Panama (Total observed designations in this group: 84)
  Designation: B.D.1, Percentage: 33.33%
  Designation: B.D.E.4, Percentage: 30.95%
  Designation: B.D.E.1, Percentage: 15.48%
  Designation: B.D, Percentage: 11.90%
  Designation: B.D.1.1, Percentage: 5.95%
  Designation: B.D.E.1.2, Percentage: 2.38%

Country:  Peru (Total observed designations in this group: 23)
  Designation: B.D.4.1.2, Percentage: 56.52%
  Designation: B.D.E.1, Percentage: 43.48%

Country:  Philippines (Total observed designations in this group: 158)
  Designation: B.D.1, Percentage: 32.28%
  Designation: B.D.4.1.3, Percentage: 27.85%
  Designation: B.D.E.3, Percentage: 22.15%
