--- Analyzing Designations by Continent (Percentages) ---

  Designation: B.D.4.NmC3, Percentage: 2.78%

Country:  Burkina Faso (Total observed designations in this group: 1)
  Designation: B.D.2.NmC1, Percentage: 100.00%

Country:  Cambodia (Total observed designations in this group: 2)
  Designation: B.D.1.NmC3, Percentage: 50.00%
  Designation: B.D.E.3.NmC3, Percentage: 50.00%

Country:  Cameroon (Total observed designations in this group: 59)
  Designation: B.D.4.NmC4, Percentage: 35.59%
  Designation: B.D.E.2, Percentage: 28.81%
  Designation: B.D.4.NmC1, Percentage: 27.12%
  Designation: B.D.4, Percentage: 3.39%
  Designation: B.D.E.2.NmC1, Percentage: 3.39%
  Designation: B.D.1, Percentage: 1.69%

Country:  Canada (Total observed designations in this group: 150)
  Designation: B.D.E.4, Percentage: 43.33%
  Designation: B.D.4.1.1.NmC1, Percentage: 39.33%
  Designation: B.D.4.1.3.NmC1, Percentage: 8.67%
  Designation: B.D.4.1.1.NmC2, Percentage: 4.67%
  Designation: B.D.4.1.1.NmC3, Percentage: 1.33%
  Designation: B.D.4.1.2, Percentage: 1.33%
  Designation: B.D.1.NmC4, Percentage: 0.67%
  Designation: B.D.4.1.3.NmC2, Percentage: 0.67%

Country:  China (Total observed designations in this group: 2174)
  Designation: B.D.4, Percentage: 14.26%
  Designation: B.D.E.2, Percentage: 11.82%
  Designation: B.D.4.1.1.NmC1, Percentage: 10.53%
  Designation: B.D.2.NmC1, Percentage: 8.42%
  Designation: B.D.2, Percentage: 7.96%
  Designation: B.D.E.3.NmC1, Percentage: 7.50%
  Designation: B.D.4.1.3.NmC1, Percentage: 7.13%
  Designation: B.D.3.NmC1, Percentage: 6.72%
  Designation: B.D.E.2.NmC1, Percentage: 5.29%
  Designation: B.D.E.4, Percentage: 4.14%
  Designation: B.D.4.NmC4, Percentage: 3.73%
  Designation: B.D.E.3.NmC3, Percentage: 2.99%
  Designation: B.D.E.3.NmC2, Percentage: 2.21%
  Designation: B.D.4.1.3.NmC2, Percentage: 2.07%
  Designation: B.D.E.1, Percentage: 1.20%
  Designation: B.D.4.1.2, Percentage: 0.83%
  Designation: B.3, Percentage: 0.51%
  Designation: B.D.4.NmC2, Percentage: 0.46%
  Designation: B.D.NmC1, Percentage: 0.41%
  Designation: B.D.2.NmC2, Percentage: 0.32%
  Designation: B.D.2.NmC3, Percentage: 0.32%
  Designation: B.D.4.1.NmC1, Percentage: 0.28%
  Designation: B.D, Percentage: 0.23%
  Designation: B.D.4.1, Percentage: 0.18%
  Designation: B.D.E.3, Percentage: 0.18%
  Designation: B.D.4.NmC3, Percentage: 0.14%
